ChosenID,heel_lat,heel_lon,toe_lat,toe_lon,cluster
4246141617,31.592646848,-102.14457596,31.619317227,-102.153003779,0
4246141619,31.5948506,-102.140810437,31.619049158,-102.148217071,0
4222740866,32.385286929,-101.569909057,32.353452152,-101.561353986,1
4222740864,32.385662784,-101.567665968,32.353834137,-101.559370361,1
4222740869,32.386658092,-101.566778606,32.354140215,-101.558249215,1
4222740870,32.385802539,-101.56942105,32.353478237,-101.56090397,1
4222740872,32.385847391,-101.571747655,32.35297889,-101.563118638,1
4232944033,31.995376244,-102.200932235,32.029432705,-102.211103385,2
4232944706,31.840093952,-102.062220299,31.865923818,-102.070049632,3
4246141702,31.629637915,-102.115826984,31.656316265,-102.123902405,4
4246141720,31.618813797,-102.10218158,31.658355433,-102.11434046,5
4222740990,32.390315354,-101.44038336,32.416180017,-101.447098405,6
4232944707,31.841340881,-102.061859831,31.866080539,-102.069346376,3
4222740991,32.38949948,-101.438821421,32.416218338,-101.445622298,6
4232944705,31.841405381,-102.06315115,31.865808788,-102.070574261,3
4222740989,32.422633035,-101.328032306,32.405410565,-101.329406612,7
4222741022,32.388072658,-101.601963825,32.353847878,-101.592894397,8
4232944708,31.840051731,-102.062208986,31.86481589,-102.070472028,3
4222741017,32.387906323,-101.605473343,32.353232381,-101.596034348,8
4238340978,31.591194452,-101.636669562,31.616851401,-101.644497191,9
4238340977,31.591085038,-101.639150476,31.61626087,-101.646841325,9
4246141714,31.616299676,-102.115170454,31.663957839,-102.129929646,10
4246141724,31.632534118,-102.103471113,31.659690354,-102.111877445,11
4222741007,32.387248479,-101.608485905,32.352600383,-101.599178085,8
4246141721,31.618849784,-102.098838101,31.659750281,-102.111391907,12
4232944726,31.885536015,-101.783704122,31.858947915,-101.775684988,13
4246141718,31.630267054,-102.111410968,31.656690333,-102.119626403,4
4232944729,31.885228625,-101.785268607,31.858575664,-101.777146124,13
4232944725,31.839577329,-102.187123972,31.880588126,-102.199544018,14
4222741012,32.387407749,-101.607362568,32.352871528,-101.597798063,8
4232944741,31.870568712,-101.793930691,31.897530715,-101.802139043,15
4232944720,31.839672422,-102.185477151,31.881063472,-102.197767279,14
4222741006,32.387314402,-101.608600838,32.352609878,-101.599141297,8
4246141727,31.354116361,-101.892654246,31.334067911,-101.88592989,16
4222741014,32.387852324,-101.606964367,32.352909402,-101.597606148,8
4246141410,31.529643245,-102.153310426,31.563418909,-102.16382384,17
4246141712,31.614376972,-102.118382181,31.654764067,-102.130979062,18
4232944722,31.840065615,-102.186635789,31.86675862,-102.194721703,19
4232944841,32.062651304,-102.124294598,32.032371107,-102.115166556,20
4232944651,31.87655159,-102.08797852,31.849366823,-102.079717237,21
4232944630,31.876295145,-102.091081541,31.848729173,-102.082687054,21
4232944631,31.876619716,-102.089722551,31.849061054,-102.081174737,21
