ChosenID,Basin,WellName,County,LeaseName,LeaseNumber,Field,RES_CAT,Landing_Zone,PerfLateralLength,FirstProdDate,HoleDirection,SurfaceLatitude,SurfaceLongitude,cluster
4238939261,DB,JOHN PHILLIP LONG STATE 18-19 A 134H,REEVES,JOHN PHILLIP LONG STATE 18-19 A,08-292705-G,PHANTOM,01PDP,3RD BS,11162.0,2021-09-01,H,31.389298072,-103.317163026,0
4238939263,DB,JOHN PHILLIP LONG STATE 18-19 C 233H,REEVES,JOHN PHILLIP LONG STATE 18-19 C,08-292616-G,PHANTOM,01PDP,WCA,11151.0,2021-09-01,H,31.38940607,-103.317137025,1
4238939262,DB,JOHN PHILLIP LONG STATE 18-19 B 221H,REEVES,JOHN PHILLIP LONG STATE 18-19 B,08-292637-G,PHANTOM,01PDP,WCA,11122.0,2021-09-01,H,31.389190075,-103.317189028,2
4238939343,DB,ALTAI 23 1BS,REEVES,ALTAI 23,08-056710-O,HOEFS T-K,01PDP,3RD BS,11750.0,2021-11-01,H,31.371539544,-103.261983392,3
4238939338,DB,IGUANA UNIT 6B62 62H,REEVES,IGUANA UNIT 6B62,08-056327-O,SANDBAR,01PDP,2ND BS,8433.0,2021-09-01,H,31.264904232,-103.177264571,4
4238939336,DB,IGUANA UNIT 6B14 14H,REEVES,IGUANA UNIT 6B14,08-056351-O,WOLFBONE,01PDP,WCA,8456.0,2021-09-01,H,31.264904233,-103.177167368,5
4238939334,DB,MOTHBALL 154-153 UNIT E 4H,REEVES,MOTHBALL 154-153 UNIT E,08-056653-O,HOEFS T-K,01PDP,WCA,11372.0,2021-09-01,H,31.114855572,-103.604952741,6
4238939333,DB,CABRITO LONG STATE A T 38H,REEVES,CABRITO LONG STATE A,08-291711-G,PHANTOM,01PDP,3RD BS,9734.0,2021-06-01,H,31.395111131,-103.421258372,7
4238939337,DB,IGUANA UNIT 6D12 12H,REEVES,IGUANA UNIT 6D12,08-056353-O,WOLFBONE,01PDP,WCA,8462.0,2021-09-01,H,31.264904231,-103.177359075,8
4238939332,DB,LONGWAY 16 UNIT 331H,REEVES,LONGWAY 16 UNIT,08-292777-G,PHANTOM,01PDP,WCB,10732.0,2021-10-01,H,31.38780211,-103.317132033,9
4238939264,DB,BELL CAPPS UNIT 214H 3H,REEVES,BELL CAPPS UNIT 214H,08-052224-O,WOLFBONE,01PDP,WCA,10740.0,2021-05-01,H,31.169019998,-103.557241608,10
4238939265,DB,BELL CAPPS UNIT 214H 4H,REEVES,BELL CAPPS UNIT 214H,08-052224-O,WOLFBONE,01PDP,WCA,8416.0,2021-05-01,H,31.168998999,-103.557132605,11
4238939266,DB,BELL CAPPS UNIT 214W 1H,REEVES,BELL CAPPS UNIT 214W,,WOLFBONE,03PA,WCB,10256.0,2200-01-01,H,31.169039996,-103.557351611,12
4238939267,DB,BEXAR 11-14 EAST UNIT 3H,REEVES,BEXAR 11-14 EAST UNIT,08-057404-O,WOLFBONE,01PDP,WCA,10279.0,2021-11-01,H,31.169729239,-103.39370314,13
4238939271,DB,BEXAR 11-14 WEST UNIT 10H,REEVES,BEXAR 11-14 WEST UNIT,08-057404-O,WOLFBONE,01PDP,3RD BS,10081.0,2021-11-01,H,31.169780239,-103.393407132,14
